ts,user_id,username,task,event,code,stdout,stderr,estimated_stage,next_stage,processing_structure,advice
2025-12-18T04:17:07.532Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:hitot, 出力:△△*/

    return 0;
}",,,,,,
2025-12-18T04:17:17.537Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:*/

    return 0;
}",,,,,,
2025-12-18T04:17:27.524Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:にゅうｒ約数の*/

    return 0;
}",,,,,,
2025-12-18T04:17:37.529Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の*/

    return 0;
}",,,,,,
2025-12-18T04:17:47.534Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    
    
    return 0;
}",,,,,,
2025-12-18T04:17:57.532Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //
    
    return 0;
}",,,,,,
2025-12-18T04:18:57.531Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //せいｓｙｙ
    
    return 0;
}",,,,,,
2025-12-18T04:19:07.537Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
   　・・
    
    return 0;
}",,,,,,
2025-12-18T04:19:17.539Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力

    
    return 0;
}",,,,,,
2025-12-18T04:19:27.526Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //
    //
    
    return 0;
}",,,,,,
2025-12-18T04:21:37.540Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1からｎ
    //
    
    return 0;
}",,,,,,
2025-12-18T04:21:47.525Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値までくｒ
    //
    
    return 0;
}",,,,,,
2025-12-18T04:21:57.537Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値まで繰り返して約数があるかの確認
    //
    
    return 0;
}",,,,,,
2025-12-18T04:22:07.811Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値まで繰り返して約数かどうかの確認
    //
    
    return 0;
}",,,,,,
2025-12-18T04:23:37.529Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値まで繰り返して去り切れるかどかどうかの確認
    //
    
    return 0;
}",,,,,,
2025-12-18T04:23:47.524Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値まで繰り返して割り切れるかどうかの確認
    //
    
    return 0;
}",,,,,,
2025-12-18T04:23:57.532Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値まで繰り返して割り切れるかどうかの確認
    //割り切れたら約数でアル
    
    return 0;
}",,,,,,
2025-12-18T04:24:07.526Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値まで繰り返して割り切れるかどうかの確認
    //割り切れたら約数である
    //
    
    return 0;
}",,,,,,
2025-12-18T04:24:27.529Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //1から入力値まで繰り返して割り切れるかどうかの確認
    //割り切れたら約数である
    //やくす
    
    return 0;
}",,,,,,
2025-12-18T04:24:37.538Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //
    //1から入力値まで繰り返して割り切れるかどうかの確認
    //割り切れたら約数である
    //約数を足す（）
    
    return 0;
}",,,,,,
2025-12-18T04:24:47.535Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //再帰関数
    //1から入力値まで繰り返して割り切れるかどうかの確認
    //割り切れたら約数である
    //約数を足す（）
    
    return 0;
}",,,,,,
2025-12-18T04:24:57.525Z,user_012,user12,39,auto_save,"#include <stdio.h>

int main(void) {
    /*入力:一つの整数, 出力:入力した整数の約数の総和*/
    //整数値の入力
    //再帰関数
        //1から入力値まで繰り返して割り切れるかどうかの確認
        //割り切れたら約数である
    //約数を足す（）
    
    return 0;
}",,,,,,
